id,category,question,option_a,option_b,option_c,option_d,correct_option,correct_answer
45,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת מלזיה?,רומא,מדריד,פריז,קואלה לומפור,ד,קואלה לומפור
46,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת פיליפינים?,מנילה,מדריד,רומא,פריז,א,מנילה
47,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת אוסטרליה?,רומא,פריז,קנברה,מדריד,ג,קנברה
48,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת ניו זילנד?,רומא,מדריד,פריז,ולינגטון,ד,ולינגטון
49,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת קנדה?,מדריד,אוטווה,רומא,פריז,ב,אוטווה
50,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת ארצות הברית?,רומא,פריז,וושינגטון די. סי.,מדריד,ג,וושינגטון די. סי.
51,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת מקסיקו?,רומא,פריז,מקסיקו סיטי,מדריד,ג,מקסיקו סיטי
52,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת ברזיל?,מדריד,פריז,ברזיליה,רומא,ג,ברזיליה
53,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת ארגנטינה?,רומא,מדריד,בואנוס איירס,פריז,ג,בואנוס איירס
54,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת צ'ילה?,מדריד,סנטיאגו,רומא,פריז,ב,סנטיאגו
55,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת פרו?,לימה,פריז,רומא,מדריד,א,לימה
56,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת קולומביה?,בוגוטה,פריז,רומא,מדריד,א,בוגוטה
57,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת אורוגוואי?,מונטווידאו,פריז,רומא,מדריד,א,מונטווידאו
58,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת ישראל?,ירושלים,פריז,מדריד,רומא,א,ירושלים
59,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת ירדן?,מדריד,עמאן,פריז,רומא,ב,עמאן
60,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת לבנון?,ביירות,רומא,פריז,מדריד,א,ביירות
61,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת קפריסין?,פריז,ניקוסיה,רומא,מדריד,ב,ניקוסיה
62,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת איחוד האמירויות?,פריז,רומא,אבו דאבי,מדריד,ג,אבו דאבי
63,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת ערב הסעודית?,פריז,מדריד,רומא,ריאד,ד,ריאד
64,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי בירת קטר?,מדריד,דוחה,פריז,רומא,ב,דוחה
65,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי ההר הגבוה בעולם?,קילימנג'רו,אוורסט,אלברוס,אולימפוס,ב,אוורסט
66,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי הנהר הארוך ביותר באפריקה?,האמזונאס,המקונג,הנילוס,הדנובה,ג,הנילוס
67,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי האוקיינוס הגדול ביותר?,האוקיינוס ההודי,האוקיינוס השקט,האוקיינוס הארקטי,האוקיינוס האטלנטי,ב,האוקיינוס השקט
68,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי המדבר החם הגדול בעולם?,אטקמה,גובי,סהרה,קלהארי,ג,סהרה
69,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי האי הגדול בעולם?,איסלנד,מדגסקר,גרינלנד,בורנאו,ג,גרינלנד
70,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי היבשת הקטנה ביותר?,אמריקה הדרומית,אירופה,אנטארקטיקה,אוסטרליה,ד,אוסטרליה
71,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי הים המלוח הנמוך ביותר בפני היבשה?,הים הכספי,הים השחור,ימת ויקטוריה,ים המלח,ד,ים המלח
72,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי המדינה שבה נמצאת העיר קיוטו?,סין,תאילנד,יפן,קוריאה הדרומית,ג,יפן
73,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי המדינה שבה נמצאת העיר פירנצה?,ספרד,יוון,איטליה,צרפת,ג,איטליה
74,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: מהי התשובה הנכונה לגבי המדינה שבה נמצאת פטגוניה ברובה?,מקסיקו,קולומביה,ארגנטינה,קנדה,ג,ארגנטינה
75,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת צרפת?,מדריד,רומא,פריז,ברלין,ג,פריז
76,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת איטליה?,פריז,מדריד,ברלין,רומא,ד,רומא
77,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת ספרד?,פריז,ברלין,רומא,מדריד,ד,מדריד
78,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת גרמניה?,רומא,מדריד,ברלין,פריז,ג,ברלין
79,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת הולנד?,רומא,מדריד,פריז,אמסטרדם,ד,אמסטרדם
80,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת בלגיה?,בריסל,פריז,מדריד,רומא,א,בריסל
81,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת אוסטריה?,וינה,פריז,רומא,מדריד,א,וינה
82,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת יוון?,מדריד,רומא,פריז,אתונה,ד,אתונה
83,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת פורטוגל?,מדריד,רומא,ליסבון,פריז,ג,ליסבון
84,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת שווייץ?,רומא,פריז,מדריד,ברן,ד,ברן
85,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת שוודיה?,מדריד,פריז,סטוקהולם,רומא,ג,סטוקהולם
86,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת נורווגיה?,מדריד,פריז,אוסלו,רומא,ג,אוסלו
87,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת דנמרק?,רומא,מדריד,קופנהגן,פריז,ג,קופנהגן
88,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת פינלנד?,הלסינקי,פריז,מדריד,רומא,א,הלסינקי
89,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת אירלנד?,רומא,פריז,מדריד,דבלין,ד,דבלין
90,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת פולין?,פריז,ורשה,רומא,מדריד,ב,ורשה
91,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת צ'כיה?,רומא,פריז,מדריד,פראג,ד,פראג
92,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת הונגריה?,רומא,פריז,מדריד,בודפשט,ד,בודפשט
93,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת רומניה?,מדריד,רומא,בוקרשט,פריז,ג,בוקרשט
94,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת בולגריה?,רומא,פריז,מדריד,סופיה,ד,סופיה
95,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת קרואטיה?,מדריד,זאגרב,פריז,רומא,ב,זאגרב
96,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת סרביה?,בלגרד,מדריד,רומא,פריז,א,בלגרד
97,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת טורקיה?,מדריד,רומא,אנקרה,פריז,ג,אנקרה
98,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת רוסיה?,מוסקבה,רומא,מדריד,פריז,א,מוסקבה
99,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת אוקראינה?,פריז,רומא,מדריד,קייב,ד,קייב
100,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת מצרים?,מדריד,רומא,קהיר,פריז,ג,קהיר
101,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת מרוקו?,רבאט,מדריד,פריז,רומא,א,רבאט
102,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת תוניסיה?,רומא,מדריד,פריז,תוניס,ד,תוניס
103,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת אלג'יריה?,רומא,אלג'יר,פריז,מדריד,ב,אלג'יר
104,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת דרום אפריקה?,רומא,מדריד,פריז,פרטוריה,ד,פרטוריה
105,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת קניה?,מדריד,ניירובי,פריז,רומא,ב,ניירובי
106,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת אתיופיה?,רומא,אדיס אבבה,מדריד,פריז,ב,אדיס אבבה
107,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת ניגריה?,מדריד,אבוג'ה,רומא,פריז,ב,אבוג'ה
108,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת גאנה?,אקרה,מדריד,פריז,רומא,א,אקרה
109,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת סנגל?,מדריד,פריז,רומא,דקר,ד,דקר
110,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת יפן?,מדריד,רומא,פריז,טוקיו,ד,טוקיו
111,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת סין?,מדריד,פריז,בייג'ינג,רומא,ג,בייג'ינג
112,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת קוריאה הדרומית?,סיאול,רומא,מדריד,פריז,א,סיאול
113,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת תאילנד?,פריז,בנגקוק,רומא,מדריד,ב,בנגקוק
114,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת וייטנאם?,האנוי,מדריד,פריז,רומא,א,האנוי
115,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת הודו?,ניו דלהי,פריז,רומא,מדריד,א,ניו דלהי
116,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת פקיסטן?,אסלאמאבאד,מדריד,רומא,פריז,א,אסלאמאבאד
117,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת בנגלדש?,רומא,פריז,דאקה,מדריד,ג,דאקה
118,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת אינדונזיה?,ג'קרטה,רומא,מדריד,פריז,א,ג'קרטה
119,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת מלזיה?,מדריד,פריז,קואלה לומפור,רומא,ג,קואלה לומפור
120,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת פיליפינים?,מנילה,מדריד,רומא,פריז,א,מנילה
121,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת אוסטרליה?,קנברה,רומא,מדריד,פריז,א,קנברה
122,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת ניו זילנד?,ולינגטון,מדריד,פריז,רומא,א,ולינגטון
123,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת קנדה?,אוטווה,פריז,רומא,מדריד,א,אוטווה
124,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת ארצות הברית?,רומא,וושינגטון די. סי.,פריז,מדריד,ב,וושינגטון די. סי.
125,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת מקסיקו?,מקסיקו סיטי,מדריד,פריז,רומא,א,מקסיקו סיטי
126,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת ברזיל?,פריז,רומא,ברזיליה,מדריד,ג,ברזיליה
127,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת ארגנטינה?,בואנוס איירס,רומא,מדריד,פריז,א,בואנוס איירס
128,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת צ'ילה?,רומא,פריז,סנטיאגו,מדריד,ג,סנטיאגו
129,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת פרו?,לימה,רומא,מדריד,פריז,א,לימה
130,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת קולומביה?,מדריד,בוגוטה,רומא,פריז,ב,בוגוטה
131,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת אורוגוואי?,מדריד,רומא,מונטווידאו,פריז,ג,מונטווידאו
132,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת ישראל?,מדריד,פריז,רומא,ירושלים,ד,ירושלים
133,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת ירדן?,עמאן,רומא,פריז,מדריד,א,עמאן
134,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת לבנון?,רומא,פריז,ביירות,מדריד,ג,ביירות
135,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת קפריסין?,רומא,ניקוסיה,פריז,מדריד,ב,ניקוסיה
136,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת איחוד האמירויות?,אבו דאבי,רומא,פריז,מדריד,א,אבו דאבי
137,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת ערב הסעודית?,מדריד,רומא,פריז,ריאד,ד,ריאד
138,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את בירת קטר?,מדריד,פריז,רומא,דוחה,ד,דוחה
139,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את ההר הגבוה בעולם?,קילימנג'רו,אולימפוס,אוורסט,אלברוס,ג,אוורסט
140,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את הנהר הארוך ביותר באפריקה?,הנילוס,הדנובה,האמזונאס,המקונג,א,הנילוס
141,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את האוקיינוס הגדול ביותר?,האוקיינוס הארקטי,האוקיינוס ההודי,האוקיינוס האטלנטי,האוקיינוס השקט,ד,האוקיינוס השקט
142,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את המדבר החם הגדול בעולם?,אטקמה,קלהארי,סהרה,גובי,ג,סהרה
143,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את האי הגדול בעולם?,איסלנד,מדגסקר,בורנאו,גרינלנד,ד,גרינלנד
144,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את היבשת הקטנה ביותר?,אמריקה הדרומית,אנטארקטיקה,אוסטרליה,אירופה,ג,אוסטרליה
145,גאוגרפיה,לצורך חידון טריוויה בקטגוריית גאוגרפיה: איזו אפשרות מתארת נכון את הים המלוח הנמוך ביותר בפני היבשה?,הים הכספי,ים המלח,ימת ויקטוריה,הים השחור,ב,ים המלח
